Abecean Longfin	Weakness to Frost	Fortify Sneak	Weakness to Poison	Fortify Restoration	0.5	15
Ancestor Moth Wing*	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting	0.1	2	Dawnguard
Ash Creep Cluster‡	Damage Stamina	Invisibility	Resist Fire	Fortify Destruction	0.3	20	Dragonborn
Ash Hopper Jelly‡	Restore Health	Fortify Light Armor	Resist Shock	Weakness to Frost	0.3	20	Dragonborn
Ashen Grass Pod‡	Resist Fire	Weakness to Shock	Fortify Lockpicking	Fortify Sneak	0.1	1	Dragonborn
Bear Claws	Restore Stamina	Fortify Health	Fortify One-Handed	Damage Magicka Regen	0.1	2
Bee	Restore Stamina	Ravage Stamina	Regenerate Stamina	Weakness to Shock	0.1	3
Beehive Husk	Resist Poison	Fortify Light Armor	Fortify Sneak	Fortify Destruction	1	5
Berit's Ashes (identical to Bone Meal)	Damage Stamina	Resist Fire	Fortify Conjuration	Ravage Stamina	0.5	5
Bleeding Crown	Weakness to Fire	Fortify Block	Weakness to Poison	Resist Magic	0.3	10
Blisterwort	Damage Stamina	Frenzy	Restore Health	Fortify Smithing	0.2	12
Blue Butterfly Wing	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting	0.1	2
Blue Dartwing	Resist Shock	Fortify Pickpocket	Restore Health	Fear	0.1	1
Blue Mountain Flower	Restore Health	Fortify Conjuration	Fortify Health	Damage Magicka Regen	0.1	2
Boar Tusk‡	Fortify Stamina	Fortify Health	Fortify Block	Frenzy	0.5	20	Dragonborn
Bone Meal	Damage Stamina	Resist Fire	Fortify Conjuration	Ravage Stamina	0.5	5
Briar Heart	Restore Magicka	Fortify Block	Paralysis	Fortify Magicka	0.5	20
Burnt Spriggan Wood‡	Weakness to Fire	Fortify Alteration	Damage Magicka Regen	Slow	0.5	20	Dragonborn
Butterfly Wing	Restore Health	Fortify Barter	Lingering Damage Stamina	Damage Magicka	0.1	3
Canis Root	Damage Stamina	Fortify One-Handed	Fortify Marksman	Paralysis	0.1	5
Charred Skeever Hide	Restore Stamina	Cure Disease	Resist Poison	Restore Health	0.5	1
Chaurus Eggs	Weakness to Poison	Fortify Stamina	Damage Magicka	Invisibility	0.2	10
Chaurus Hunter Antennae*	Damage Stamina	Fortify Conjuration	Damage Magicka Regen	Fortify Enchanting	0.1	2	Dawnguard
Chicken's Egg	Resist Magic	Damage Magicka Regen	Waterbreathing	Lingering Damage Stamina	0.5	2
Creep Cluster	Restore Magicka	Damage Stamina Regen	Fortify Carry Weight	Weakness to Magic	0.2	1
Crimson Nirnroot	Damage Health	Damage Stamina	Invisibility	Resist Magic	0.2	10
